,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/P90,Ast/P90,G+A/P90,G-PK/P90,G+A-PK/P90,xG,npxG,xA,npxG+xA,xG/P90,xA/P90,xG+xA/P90,npxG/P90,npxG+xA/P90
296,Iyenoma Udogie,it ITA,DF,19-276,2,2,170.0,1.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.53,0.0,0.53,0.53,0.53,0.3,0.3,0.1,0.4,0.17,0.03,0.21,0.17,0.21
297,Isaac Success,ng NGA,FW,26-236,3,2,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09
298,Nehuén Pérez,ar ARG,DF,22-068,2,2,109.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Sandi Lovrić,si SVN,MF,24-156,3,1,128.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.13,0.07,0.2,0.13,0.2
300,Beto,gw GNB,FW,24-212,3,1,115.0,1.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.78,0.78,0.5,0.5,0.3,0.8,0.41,0.2,0.62,0.41,0.62
301,Brandon Soppy,fr FRA,DF,20-191,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.12,0.09,0.21,0.12,0.21
302,Jaka Bijol,si SVN,DF,23-207,1,1,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Enzo Ebosse,cm CMR,DF,23-173,2,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Tolgay Arslan,de GER,MF,32-015,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Lazar Samardzic,de GER,MF,20-188,2,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.18,0.0,0.18,0.18,0.18
306,Ilija Nestorovski,mk MKD,FW,32-172,1,0,23.0,0.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.91,3.91,0.0,3.91,0.0,0.0,0.2,0.2,0.0,0.89,0.89,0.0,0.89
307,Festy Ebosele,ie IRL,DF,20-029,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,James Abankwah,ie IRL,DF,18-227,0,0,,,,,,,,,,,,,,,,,,,,,,,
309,Filip Benković,hr CRO,DF,25-049,0,0,,,,,,,,,,,,,,,,,,,,,,,
310,Axel Guessand,fr FRA,DF,17-298,0,0,,,,,,,,,,,,,,,,,,,,,,,
311,Mato Jajalo,ba BIH,MF,34-098,0,0,,,,,,,,,,,,,,,,,,,,,,,
312,Daniele Padelli,it ITA,GK,36-310,0,0,,,,,,,,,,,,,,,,,,,,,,,
313,Simone Pafundi,it ITA,MF,16-170,0,0,,,,,,,,,,,,,,,,,,,,,,,
314,Martin Palumbo,no NOR,MF,20-179,0,0,,,,,,,,,,,,,,,,,,,,,,,
315,Edoardo Piana,it ITA,GK,18-336,0,0,,,,,,,,,,,,,,,,,,,,,,,
316,Bartłomiej Drągowski,pl POL,GK,25-012,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Jakub Kiwior,pl POL,DF,22-197,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Dimitris Nikolaou,gr GRE,DF,24-018,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,M'Bala Nzola,ao ANG,FW,26-013,3,3,270.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.67,0.0,0.67,0.33,0.33,1.1,0.3,0.0,0.3,0.37,0.0,0.37,0.11,0.11
320,Arkadiusz Reca,pl POL,DF,27-075,3,3,254.0,2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.03,0.08,0.11,0.03,0.11
321,Emmanuel Gyasi,gh GHA,DF,28-232,3,3,253.0,2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.03,0.05,0.03,0.05
322,Simone Bastoni,it ITA,MF,25-299,3,3,245.0,2.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37,0.37,0.73,0.37,0.73,0.1,0.1,0.6,0.7,0.05,0.22,0.27,0.05,0.27
323,Mehdi Bourabia,ma MAR,MF,31-024,3,3,244.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.03,0.01,0.03
324,Kevin Agudelo,co COL,"MF,FW",23-290,3,3,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05
325,Mattia Caldara,it ITA,DF,28-118,3,2,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.1
